origin,destination,flow,time
WSM.11.4_1,WSM.11.1_1,95.0,0
WSM.11.4_1,WSM.11.2_1,21.0,0
WSM.11.4_1,WSM.11.3_1,22.0,0
WSM.11.4_1,WSM.8.1_1,13.0,0
WSM.11.4_1,WSM.6.3_1,5.0,0
WSM.11.4_1,WSM.7.3_1,7.0,0
WSM.11.4_1,WSM.6.2_1,3.0,0
WSM.11.4_1,WSM.7.2_1,3.0,0
WSM.11.4_1,WSM.5.2_1,2.0,0
WSM.11.4_1,WSM.4.2_1,1.0,0
WSM.11.4_1,WSM.4.1_1,1.0,0
WSM.11.4_1,WSM.4.3_1,1.0,0
WSM.11.4_1,WSM.1.5_1,1.0,0
WSM.11.4_1,WSM.9.5_1,1.0,0
WSM.11.4_1,WSM.9.2_1,1.0,0
WSM.11.4_1,WSM.9.1_1,1.0,0
WSM.1.5_1,WSM.5.1_1,67.0,0
WSM.1.5_1,WSM.1.4_1,145.0,0
WSM.1.5_1,WSM.1.2_1,77.0,0
WSM.1.5_1,WSM.1.1_1,58.0,0
WSM.1.5_1,WSM.1.3_1,27.0,0
WSM.1.5_1,WSM.9.5_1,41.0,0
WSM.1.5_1,WSM.9.4_1,4.0,0
WSM.1.5_1,WSM.2.1_1,6.0,0
WSM.1.5_1,WSM.9.2_1,12.0,0
WSM.1.5_1,WSM.9.6_1,3.0,0
WSM.1.5_1,WSM.9.1_1,2.0,0
WSM.1.5_1,WSM.9.9_1,5.0,0
WSM.1.5_1,WSM.9.7_1,1.0,0
WSM.1.5_1,WSM.9.8_1,1.0,0
WSM.1.5_1,WSM.3.5_1,1.0,0
WSM.1.5_1,WSM.7.1_1,1.0,0
WSM.1.5_1,WSM.7.3_1,1.0,0
WSM.4.1_1,WSM.7.1_1,186.0,0
WSM.4.1_1,WSM.4.2_1,179.0,0
WSM.4.1_1,WSM.4.3_1,34.0,0
WSM.4.1_1,WSM.8.2_1,38.0,0
WSM.4.1_1,WSM.4.4_1,11.0,0
WSM.4.1_1,WSM.7.2_1,57.0,0
WSM.4.1_1,WSM.5.2_1,17.0,0
WSM.4.1_1,WSM.5.3_1,5.0,0
WSM.4.1_1,WSM.6.2_1,18.0,0
WSM.4.1_1,WSM.5.4_1,7.0,0
WSM.4.1_1,WSM.2.1_1,18.0,0
WSM.4.1_1,WSM.7.3_1,7.0,0
WSM.4.1_1,WSM.6.1_1,2.0,0
WSM.4.1_1,WSM.6.3_1,2.0,0
WSM.4.1_1,WSM.1.3_1,13.0,0
WSM.4.1_1,WSM.1.4_1,9.0,0
WSM.4.1_1,WSM.1.2_1,5.0,0
WSM.4.1_1,WSM.1.1_1,11.0,0
WSM.4.1_1,WSM.8.1_1,3.0,0
WSM.4.1_1,WSM.11.3_1,2.0,0
