origin,destination,flow,time
SLB.2.2_1,SLB.2.11_1,456.0,0
SLB.2.2_1,SLB.2.7_1,92.0,0
SLB.2.2_1,SLB.2.9_1,42.0,0
SLB.2.2_1,SLB.2.1_1,34.0,0
SLB.2.2_1,SLB.2.13_1,19.0,0
SLB.2.2_1,SLB.2.10_1,18.0,0
SLB.2.2_1,SLB.2.8_1,5.0,0
SLB.2.2_1,SLB.2.3_1,24.0,0
SLB.2.2_1,SLB.2.5_1,1.0,0
SLB.2.2_1,SLB.2.12_1,3.0,0
SLB.2.2_1,SLB.2.6_1,3.0,0
SLB.2.2_1,SLB.2.4_1,1.0,0
SLB.2.2_1,SLB.10.4_1,1.0,0
SLB.2.2_1,SLB.10.7_1,5.0,0
SLB.2.2_1,SLB.10.19_1,3.0,0
SLB.2.2_1,SLB.10.1_1,2.0,0
SLB.2.2_1,SLB.10.6_1,2.0,0
SLB.2.2_1,SLB.10.26_1,2.0,0
SLB.2.2_1,SLB.2.14_1,1.0,0
SLB.2.2_1,SLB.10.22_1,1.0,0
SLB.2.2_1,SLB.10.5_1,2.0,0
SLB.2.2_1,SLB.10.23_1,2.0,0
SLB.2.2_1,SLB.10.9_1,2.0,0
SLB.2.2_1,SLB.10.25_1,2.0,0
SLB.2.2_1,SLB.10.13_1,1.0,0
SLB.2.2_1,SLB.10.10_1,2.0,0
SLB.2.2_1,SLB.10.18_1,1.0,0
SLB.2.2_1,SLB.10.2_1,1.0,0
SLB.2.2_1,SLB.10.24_1,1.0,0
SLB.2.2_1,SLB.10.12_1,1.0,0
SLB.2.2_1,SLB.5.7_1,1.0,0
SLB.2.2_1,SLB.1.5_1,1.0,0
SLB.2.2_1,SLB.3.15_1,1.0,0
SLB.2.2_1,SLB.4.12_1,1.0,0
SLB.2.2_1,SLB.3.9_1,1.0,0
SLB.2.2_1,SLB.3.6_1,1.0,0
SLB.2.2_1,SLB.6.3_1,1.0,0
SLB.4.7_1,SLB.4.9_1,765.0,0
SLB.4.7_1,SLB.4.5_1,1196.0,0
SLB.4.7_1,SLB.4.10_1,1000.0,0
SLB.4.7_1,SLB.4.11_1,600.0,0
SLB.4.7_1,SLB.4.2_1,1107.0,0
SLB.4.7_1,SLB.4.3_1,207.0,0
SLB.4.7_1,SLB.4.12_1,380.0,0
SLB.4.7_1,SLB.4.8_1,261.0,0
SLB.4.7_1,SLB.3.15_1,333.0,0
SLB.4.7_1,SLB.3.9_1,133.0,0
SLB.4.7_1,SLB.3.22_1,51.0,0
SLB.4.7_1,SLB.3.12_1,56.0,0
SLB.4.7_1,SLB.3.16_1,28.0,0
SLB.4.7_1,SLB.3.21_1,21.0,0
SLB.4.7_1,SLB.3.5_1,26.0,0
SLB.4.7_1,SLB.3.13_1,16.0,0
SLB.4.7_1,SLB.3.4_1,16.0,0
SLB.4.7_1,SLB.1.10_1,7.0,0
SLB.4.7_1,SLB.3.20_1,31.0,0
SLB.4.7_1,SLB.1.5_1,11.0,0
SLB.4.7_1,SLB.3.6_1,38.0,0
SLB.4.7_1,SLB.3.19_1,9.0,0
SLB.4.7_1,SLB.1.12_1,3.0,0
SLB.4.7_1,SLB.3.11_1,14.0,0
SLB.4.7_1,SLB.1.11_1,3.0,0
SLB.4.7_1,SLB.1.13_1,10.0,0
SLB.4.7_1,SLB.3.14_1,3.0,0
SLB.4.7_1,SLB.1.1_1,1.0,0
SLB.4.7_1,SLB.1.9_1,1.0,0
SLB.4.7_1,SLB.1.6_1,6.0,0
SLB.4.7_1,SLB.1.8_1,8.0,0
SLB.4.7_1,SLB.3.7_1,7.0,0
SLB.4.7_1,SLB.1.4_1,11.0,0
SLB.4.7_1,SLB.3.1_1,14.0,0
SLB.4.7_1,SLB.3.2_1,2.0,0
SLB.4.7_1,SLB.3.18_1,5.0,0
SLB.4.7_1,SLB.3.8_1,14.0,0
SLB.4.7_1,SLB.3.10_1,7.0,0
SLB.4.7_1,SLB.3.17_1,6.0,0
SLB.4.7_1,SLB.1.3_1,3.0,0
SLB.4.7_1,SLB.1.2_1,3.0,0
SLB.4.7_1,SLB.1.7_1,3.0,0
SLB.4.7_1,SLB.3.3_1,6.0,0
SLB.4.7_1,SLB.5.13_1,4.0,0
SLB.4.7_1,SLB.7.16_1,2.0,0
SLB.4.7_1,SLB.5.4_1,4.0,0
SLB.4.7_1,SLB.7.6_1,9.0,0
SLB.4.7_1,SLB.7.32_1,10.0,0
SLB.4.7_1,SLB.7.25_1,6.0,0
SLB.4.7_1,SLB.7.14_1,8.0,0
SLB.4.7_1,SLB.7.15_1,3.0,0
SLB.4.7_1,SLB.7.3_1,13.0,0
SLB.4.7_1,SLB.7.7_1,3.0,0
SLB.4.7_1,SLB.5.10_1,5.0,0
SLB.4.7_1,SLB.7.10_1,8.0,0
SLB.4.7_1,SLB.7.29_1,8.0,0
SLB.4.7_1,SLB.7.13_1,5.0,0
SLB.4.7_1,SLB.7.9_1,11.0,0
SLB.4.7_1,SLB.5.7_1,3.0,0
SLB.4.7_1,SLB.7.22_1,4.0,0
SLB.4.7_1,SLB.5.9_1,1.0,0
SLB.4.7_1,SLB.7.31_1,3.0,0
SLB.4.7_1,SLB.7.33_1,1.0,0
SLB.4.7_1,SLB.7.2_1,2.0,0
SLB.4.7_1,SLB.5.11_1,3.0,0
SLB.4.7_1,SLB.7.19_1,3.0,0
SLB.4.7_1,SLB.7.11_1,3.0,0
SLB.4.7_1,SLB.7.27_1,3.0,0
SLB.4.7_1,SLB.7.18_1,2.0,0
SLB.4.7_1,SLB.7.8_1,4.0,0
SLB.4.7_1,SLB.7.4_1,3.0,0
SLB.4.7_1,SLB.7.30_1,9.0,0
SLB.4.7_1,SLB.5.14_1,2.0,0
SLB.4.7_1,SLB.5.1_1,3.0,0
SLB.4.7_1,SLB.7.20_1,1.0,0
SLB.4.7_1,SLB.7.24_1,2.0,0
SLB.4.7_1,SLB.7.5_1,3.0,0
SLB.4.7_1,SLB.6.4_1,1.0,0
SLB.4.7_1,SLB.7.1_1,1.0,0
SLB.4.7_1,SLB.6.2_1,2.0,0
SLB.4.7_1,SLB.6.3_1,2.0,0
SLB.4.7_1,SLB.6.1_1,1.0,0
SLB.4.7_1,SLB.5.12_1,2.0,0
SLB.4.7_1,SLB.8.7_1,2.0,0
SLB.4.7_1,SLB.10.11_1,2.0,0
SLB.4.7_1,SLB.6.16_1,3.0,0
SLB.4.7_1,SLB.6.8_1,4.0,0
SLB.4.7_1,SLB.6.20_1,1.0,0
SLB.4.7_1,SLB.6.9_1,1.0,0
SLB.4.7_1,SLB.6.7_1,4.0,0
SLB.4.7_1,SLB.10.17_1,1.0,0
SLB.4.7_1,SLB.6.13_1,1.0,0
SLB.4.7_1,SLB.10.12_1,1.0,0
SLB.4.7_1,SLB.6.19_1,2.0,0
SLB.4.7_1,SLB.6.5_1,2.0,0
SLB.4.7_1,SLB.6.6_1,1.0,0
SLB.4.7_1,SLB.10.2_1,3.0,0
SLB.4.7_1,SLB.5.6_1,1.0,0
SLB.4.7_1,SLB.6.15_1,1.0,0
SLB.4.7_1,SLB.6.14_1,2.0,0
SLB.4.7_1,SLB.10.20_1,2.0,0
SLB.4.7_1,SLB.10.16_1,1.0,0
SLB.4.7_1,SLB.10.9_1,1.0,0
SLB.4.7_1,SLB.10.10_1,1.0,0
SLB.4.7_1,SLB.10.13_1,1.0,0
SLB.4.7_1,SLB.10.25_1,3.0,0
SLB.4.7_1,SLB.10.22_1,1.0,0
SLB.4.7_1,SLB.10.14_1,1.0,0
SLB.4.7_1,SLB.10.5_1,2.0,0
SLB.4.7_1,SLB.10.23_1,2.0,0
SLB.4.7_1,SLB.10.1_1,1.0,0
SLB.4.7_1,SLB.10.26_1,2.0,0
SLB.4.7_1,SLB.2.12_1,1.0,0
SLB.4.7_1,SLB.10.4_1,1.0,0
SLB.4.7_1,SLB.10.7_1,2.0,0
SLB.4.7_1,SLB.2.8_1,1.0,0
SLB.4.7_1,SLB.2.9_1,3.0,0
SLB.4.7_1,SLB.2.2_1,1.0,0
SLB.4.7_1,SLB.2.11_1,1.0,0
SLB.4.7_1,SLB.2.10_1,1.0,0
SLB.4.7_1,SLB.2.3_1,3.0,0
SLB.4.7_1,SLB.10.19_1,1.0,0
SLB.4.7_1,SLB.7.23_1,1.0,0
SLB.4.7_1,SLB.9.11_1,1.0,0
SLB.4.7_1,SLB.9.5_1,1.0,0
SLB.4.7_1,SLB.9.13_1,1.0,0
SLB.1.12_1,SLB.1.13_1,244.0,0
SLB.1.12_1,SLB.1.1_1,37.0,0
SLB.1.12_1,SLB.1.11_1,20.0,0
SLB.1.12_1,SLB.1.6_1,3.0,0
SLB.1.12_1,SLB.1.8_1,1.0,0
SLB.1.12_1,SLB.1.9_1,1.0,0
SLB.1.12_1,SLB.1.4_1,2.0,0
SLB.1.12_1,SLB.1.5_1,2.0,0
SLB.1.12_1,SLB.3.22_1,4.0,0
SLB.1.12_1,SLB.4.8_1,3.0,0
SLB.1.12_1,SLB.4.3_1,1.0,0
SLB.1.12_1,SLB.4.5_1,1.0,0
SLB.1.13_1,SLB.1.12_1,241.0,0
SLB.1.13_1,SLB.1.1_1,356.0,0
SLB.1.13_1,SLB.1.6_1,159.0,0
SLB.1.13_1,SLB.1.8_1,106.0,0
SLB.1.13_1,SLB.1.11_1,57.0,0
SLB.1.13_1,SLB.1.4_1,32.0,0
SLB.1.13_1,SLB.1.9_1,16.0,0
SLB.1.13_1,SLB.1.10_1,13.0,0
SLB.1.13_1,SLB.1.5_1,22.0,0
SLB.1.13_1,SLB.4.8_1,49.0,0
SLB.1.13_1,SLB.3.22_1,14.0,0
SLB.1.13_1,SLB.4.3_1,7.0,0
SLB.1.13_1,SLB.4.11_1,4.0,0
SLB.1.13_1,SLB.4.12_1,9.0,0
SLB.1.13_1,SLB.4.9_1,1.0,0
SLB.1.13_1,SLB.4.10_1,3.0,0
SLB.1.13_1,SLB.4.2_1,10.0,0
SLB.1.13_1,SLB.3.5_1,4.0,0
SLB.1.13_1,SLB.4.5_1,3.0,0
SLB.1.13_1,SLB.4.7_1,5.0,0
SLB.1.13_1,SLB.3.6_1,1.0,0
SLB.1.13_1,SLB.3.12_1,3.0,0
SLB.1.13_1,SLB.3.15_1,5.0,0
SLB.1.13_1,SLB.3.9_1,1.0,0
SLB.1.13_1,SLB.7.16_1,1.0,0
SLB.1.13_1,SLB.7.22_1,1.0,0
SLB.1.13_1,SLB.7.8_1,1.0,0
SLB.1.13_1,SLB.2.1_1,1.0,0
SLB.2.5_1,SLB.2.12_1,414.0,0
SLB.2.5_1,SLB.2.8_1,111.0,0
SLB.2.5_1,SLB.2.13_1,57.0,0
SLB.2.5_1,SLB.2.6_1,15.0,0
SLB.2.5_1,SLB.2.9_1,34.0,0
SLB.2.5_1,SLB.2.1_1,15.0,0
SLB.2.5_1,SLB.2.4_1,11.0,0
SLB.2.5_1,SLB.2.2_1,6.0,0
SLB.2.5_1,SLB.2.11_1,8.0,0
SLB.2.5_1,SLB.2.7_1,6.0,0
SLB.2.5_1,SLB.2.10_1,6.0,0
SLB.2.5_1,SLB.2.3_1,11.0,0
SLB.2.5_1,SLB.10.4_1,2.0,0
SLB.2.5_1,SLB.10.1_1,4.0,0
SLB.2.5_1,SLB.10.7_1,3.0,0
SLB.2.5_1,SLB.10.14_1,4.0,0
SLB.2.5_1,SLB.10.26_1,3.0,0
SLB.2.5_1,SLB.10.22_1,2.0,0
SLB.2.5_1,SLB.10.23_1,1.0,0
SLB.2.5_1,SLB.10.25_1,2.0,0
SLB.2.5_1,SLB.10.8_1,1.0,0
SLB.2.5_1,SLB.10.6_1,1.0,0
SLB.2.5_1,SLB.10.12_1,1.0,0
SLB.2.5_1,SLB.10.17_1,1.0,0
SLB.2.5_1,SLB.10.11_1,1.0,0
SLB.2.5_1,SLB.5.13_1,1.0,0
SLB.2.5_1,SLB.3.12_1,1.0,0
SLB.2.5_1,SLB.3.15_1,1.0,0
SLB.2.5_1,SLB.4.7_1,1.0,0
SLB.2.5_1,SLB.4.10_1,1.0,0
SLB.1.1_1,SLB.1.6_1,499.0,0
SLB.1.1_1,SLB.1.13_1,181.0,0
SLB.1.1_1,SLB.1.12_1,21.0,0
SLB.1.1_1,SLB.1.11_1,66.0,0
SLB.1.1_1,SLB.1.4_1,54.0,0
SLB.1.1_1,SLB.1.9_1,22.0,0
SLB.1.1_1,SLB.1.8_1,24.0,0
SLB.1.1_1,SLB.1.10_1,9.0,0
SLB.1.1_1,SLB.1.5_1,7.0,0
SLB.1.1_1,SLB.3.22_1,38.0,0
SLB.1.1_1,SLB.3.5_1,11.0,0
SLB.1.1_1,SLB.4.8_1,13.0,0
SLB.1.1_1,SLB.3.6_1,9.0,0
SLB.1.1_1,SLB.4.3_1,5.0,0
SLB.1.1_1,SLB.4.12_1,7.0,0
SLB.1.1_1,SLB.4.11_1,1.0,0
SLB.1.1_1,SLB.4.10_1,1.0,0
SLB.1.1_1,SLB.4.2_1,4.0,0
SLB.1.1_1,SLB.4.7_1,1.0,0
SLB.1.1_1,SLB.3.15_1,2.0,0
SLB.1.1_1,SLB.3.9_1,1.0,0
SLB.1.1_1,SLB.3.20_1,1.0,0
SLB.1.1_1,SLB.7.14_1,1.0,0
SLB.1.1_1,SLB.3.16_1,1.0,0
SLB.1.1_1,SLB.7.9_1,1.0,0
SLB.1.1_1,SLB.3.19_1,1.0,0
SLB.1.1_1,SLB.3.18_1,1.0,0
SLB.1.1_1,SLB.7.15_1,1.0,0
SLB.1.1_1,SLB.7.24_1,1.0,0
SLB.1.1_1,SLB.7.5_1,2.0,0
SLB.1.1_1,SLB.5.8_1,1.0,0
SLB.1.1_1,SLB.10.24_1,1.0,0
SLB.1.1_1,SLB.9.9_1,1.0,0
SLB.1.2_1,SLB.1.7_1,503.0,0
SLB.1.2_1,SLB.1.3_1,135.0,0
SLB.1.2_1,SLB.3.13_1,98.0,0
SLB.1.2_1,SLB.3.12_1,63.0,0
SLB.1.2_1,SLB.1.5_1,2.0,0
SLB.1.2_1,SLB.1.10_1,4.0,0
SLB.1.2_1,SLB.3.16_1,12.0,0
SLB.1.2_1,SLB.5.4_1,6.0,0
SLB.1.2_1,SLB.3.15_1,27.0,0
SLB.1.2_1,SLB.5.10_1,1.0,0
SLB.1.2_1,SLB.4.7_1,5.0,0
SLB.1.2_1,SLB.4.9_1,2.0,0
SLB.1.2_1,SLB.4.5_1,2.0,0
SLB.1.2_1,SLB.4.10_1,1.0,0
SLB.1.2_1,SLB.4.11_1,3.0,0
SLB.1.2_1,SLB.4.2_1,2.0,0
SLB.1.2_1,SLB.4.3_1,1.0,0
SLB.1.2_1,SLB.1.8_1,2.0,0
SLB.1.2_1,SLB.3.9_1,1.0,0
SLB.1.2_1,SLB.5.5_1,1.0,0
SLB.1.2_1,SLB.5.1_1,1.0,0
SLB.1.2_1,SLB.1.1_1,1.0,0
SLB.1.2_1,SLB.3.5_1,1.0,0
SLB.1.2_1,SLB.7.7_1,1.0,0
SLB.1.2_1,SLB.3.3_1,1.0,0
SLB.1.2_1,SLB.7.22_1,1.0,0
SLB.1.2_1,SLB.10.26_1,1.0,0
SLB.2.6_1,SLB.2.4_1,459.0,0
SLB.2.6_1,SLB.2.5_1,63.0,0
SLB.2.6_1,SLB.2.12_1,66.0,0
SLB.2.6_1,SLB.2.8_1,32.0,0
SLB.2.6_1,SLB.2.13_1,18.0,0
SLB.2.6_1,SLB.2.14_1,15.0,0
SLB.2.6_1,SLB.2.9_1,14.0,0
SLB.2.6_1,SLB.2.1_1,8.0,0
SLB.2.6_1,SLB.2.2_1,3.0,0
SLB.2.6_1,SLB.10.14_1,8.0,0
SLB.2.6_1,SLB.2.11_1,12.0,0
SLB.2.6_1,SLB.10.1_1,11.0,0
SLB.2.6_1,SLB.10.4_1,3.0,0
SLB.2.6_1,SLB.10.22_1,9.0,0
SLB.2.6_1,SLB.2.7_1,3.0,0
SLB.2.6_1,SLB.10.9_1,2.0,0
SLB.2.6_1,SLB.10.7_1,5.0,0
SLB.2.6_1,SLB.10.26_1,1.0,0
SLB.2.6_1,SLB.2.10_1,1.0,0
SLB.2.6_1,SLB.10.5_1,2.0,0
SLB.2.6_1,SLB.2.3_1,3.0,0
SLB.2.6_1,SLB.10.10_1,2.0,0
SLB.2.6_1,SLB.10.13_1,1.0,0
SLB.2.6_1,SLB.10.25_1,2.0,0
SLB.2.6_1,SLB.10.3_1,1.0,0
SLB.2.6_1,SLB.10.18_1,1.0,0
SLB.2.6_1,SLB.10.23_1,1.0,0
SLB.2.6_1,SLB.10.24_1,1.0,0
SLB.2.6_1,SLB.10.12_1,1.0,0
SLB.2.6_1,SLB.10.17_1,2.0,0
SLB.2.6_1,SLB.5.12_1,1.0,0
SLB.2.6_1,SLB.5.8_1,1.0,0
SLB.2.6_1,SLB.1.2_1,1.0,0
SLB.2.6_1,SLB.1.5_1,1.0,0
SLB.2.6_1,SLB.3.15_1,2.0,0
SLB.2.6_1,SLB.4.7_1,2.0,0
SLB.2.6_1,SLB.7.18_1,1.0,0
SLB.2.6_1,SLB.4.2_1,1.0,0
SLB.2.6_1,SLB.3.4_1,1.0,0
SLB.2.6_1,SLB.7.30_1,1.0,0
SLB.2.6_1,SLB.7.25_1,1.0,0
SLB.2.7_1,SLB.2.11_1,509.0,0
SLB.2.7_1,SLB.2.2_1,130.0,0
SLB.2.7_1,SLB.2.10_1,133.0,0
SLB.2.7_1,SLB.2.3_1,112.0,0
SLB.2.7_1,SLB.2.1_1,14.0,0
SLB.2.7_1,SLB.2.9_1,12.0,0
SLB.2.7_1,SLB.2.13_1,11.0,0
SLB.2.7_1,SLB.2.8_1,19.0,0
SLB.2.7_1,SLB.2.5_1,6.0,0
SLB.2.7_1,SLB.2.12_1,3.0,0
SLB.2.7_1,SLB.2.6_1,8.0,0
SLB.2.7_1,SLB.10.19_1,3.0,0
SLB.2.7_1,SLB.2.4_1,6.0,0
SLB.2.7_1,SLB.10.7_1,6.0,0
SLB.2.7_1,SLB.10.4_1,6.0,0
SLB.2.7_1,SLB.10.6_1,6.0,0
SLB.2.7_1,SLB.10.1_1,5.0,0
SLB.2.7_1,SLB.10.26_1,5.0,0
SLB.2.7_1,SLB.10.14_1,1.0,0
SLB.2.7_1,SLB.10.3_1,1.0,0
SLB.2.7_1,SLB.2.14_1,1.0,0
SLB.2.7_1,SLB.10.5_1,8.0,0
SLB.2.7_1,SLB.10.9_1,2.0,0
SLB.2.7_1,SLB.10.21_1,2.0,0
SLB.2.7_1,SLB.10.25_1,4.0,0
SLB.2.7_1,SLB.10.13_1,1.0,0
SLB.2.7_1,SLB.10.8_1,2.0,0
SLB.2.7_1,SLB.10.20_1,1.0,0
SLB.2.7_1,SLB.10.2_1,1.0,0
SLB.2.7_1,SLB.10.17_1,1.0,0
SLB.2.7_1,SLB.5.2_1,1.0,0
SLB.2.7_1,SLB.1.7_1,1.0,0
SLB.2.7_1,SLB.1.2_1,1.0,0
SLB.2.7_1,SLB.1.5_1,1.0,0
SLB.2.7_1,SLB.3.12_1,3.0,0
SLB.2.7_1,SLB.3.15_1,1.0,0
SLB.2.7_1,SLB.4.2_1,3.0,0
SLB.2.7_1,SLB.1.11_1,1.0,0
SLB.2.7_1,SLB.3.9_1,1.0,0
SLB.2.7_1,SLB.3.22_1,1.0,0
SLB.2.7_1,SLB.3.5_1,1.0,0
SLB.2.7_1,SLB.7.7_1,2.0,0
SLB.2.7_1,SLB.7.8_1,1.0,0
SLB.2.7_1,SLB.7.27_1,1.0,0
SLB.2.7_1,SLB.9.7_1,1.0,0
SLB.1.3_1,SLB.1.2_1,463.0,0
SLB.1.3_1,SLB.1.7_1,188.0,0
SLB.1.3_1,SLB.3.13_1,152.0,0
SLB.1.3_1,SLB.3.12_1,84.0,0
SLB.1.3_1,SLB.1.5_1,11.0,0
SLB.1.3_1,SLB.1.10_1,9.0,0
SLB.1.3_1,SLB.3.16_1,19.0,0
SLB.1.3_1,SLB.3.15_1,29.0,0
SLB.1.3_1,SLB.5.4_1,1.0,0
SLB.1.3_1,SLB.4.7_1,2.0,0
SLB.1.3_1,SLB.5.10_1,2.0,0
SLB.1.3_1,SLB.4.5_1,3.0,0
SLB.1.3_1,SLB.4.10_1,2.0,0
SLB.1.3_1,SLB.4.11_1,2.0,0
SLB.1.3_1,SLB.4.2_1,4.0,0
SLB.1.3_1,SLB.4.3_1,1.0,0
SLB.1.3_1,SLB.4.12_1,1.0,0
SLB.1.3_1,SLB.3.21_1,1.0,0
SLB.1.3_1,SLB.4.8_1,1.0,0
SLB.1.3_1,SLB.1.13_1,1.0,0
SLB.1.3_1,SLB.3.9_1,2.0,0
SLB.1.3_1,SLB.1.1_1,1.0,0
SLB.1.3_1,SLB.5.1_1,1.0,0
SLB.1.3_1,SLB.3.6_1,1.0,0
SLB.1.3_1,SLB.7.3_1,1.0,0
SLB.1.3_1,SLB.7.10_1,1.0,0
SLB.4.8_1,SLB.4.12_1,3099.0,0
SLB.4.8_1,SLB.4.3_1,516.0,0
SLB.4.8_1,SLB.4.2_1,915.0,0
SLB.4.8_1,SLB.4.11_1,129.0,0
SLB.4.8_1,SLB.4.10_1,136.0,0
SLB.4.8_1,SLB.4.9_1,36.0,0
SLB.4.8_1,SLB.4.5_1,84.0,0
SLB.4.8_1,SLB.4.7_1,227.0,0
SLB.4.8_1,SLB.3.9_1,185.0,0
SLB.4.8_1,SLB.3.22_1,61.0,0
SLB.4.8_1,SLB.3.15_1,157.0,0
SLB.4.8_1,SLB.3.5_1,19.0,0
SLB.4.8_1,SLB.3.20_1,26.0,0
SLB.4.8_1,SLB.3.12_1,33.0,0
SLB.4.8_1,SLB.3.6_1,42.0,0
SLB.4.8_1,SLB.3.4_1,11.0,0
SLB.4.8_1,SLB.3.16_1,11.0,0
SLB.4.8_1,SLB.3.21_1,16.0,0
SLB.4.8_1,SLB.1.10_1,3.0,0
SLB.4.8_1,SLB.3.11_1,12.0,0
SLB.4.8_1,SLB.3.19_1,12.0,0
SLB.4.8_1,SLB.3.13_1,6.0,0
SLB.4.8_1,SLB.1.5_1,2.0,0
SLB.4.8_1,SLB.1.11_1,5.0,0
SLB.4.8_1,SLB.3.14_1,3.0,0
SLB.4.8_1,SLB.1.13_1,1.0,0
SLB.4.8_1,SLB.1.1_1,1.0,0
SLB.4.8_1,SLB.1.9_1,5.0,0
SLB.4.8_1,SLB.3.7_1,8.0,0
SLB.4.8_1,SLB.1.6_1,4.0,0
SLB.4.8_1,SLB.3.1_1,9.0,0
SLB.4.8_1,SLB.1.4_1,3.0,0
SLB.4.8_1,SLB.1.8_1,6.0,0
SLB.4.8_1,SLB.3.2_1,8.0,0
SLB.4.8_1,SLB.3.18_1,4.0,0
SLB.4.8_1,SLB.3.8_1,7.0,0
SLB.4.8_1,SLB.3.10_1,7.0,0
SLB.4.8_1,SLB.3.17_1,6.0,0
SLB.4.8_1,SLB.3.3_1,5.0,0
SLB.4.8_1,SLB.1.3_1,4.0,0
SLB.4.8_1,SLB.7.16_1,4.0,0
SLB.4.8_1,SLB.1.2_1,2.0,0
SLB.4.8_1,SLB.7.25_1,8.0,0
SLB.4.8_1,SLB.7.6_1,7.0,0
SLB.4.8_1,SLB.7.32_1,7.0,0
SLB.4.8_1,SLB.5.13_1,4.0,0
SLB.4.8_1,SLB.7.14_1,11.0,0
SLB.4.8_1,SLB.7.15_1,4.0,0
SLB.4.8_1,SLB.7.3_1,7.0,0
SLB.4.8_1,SLB.5.4_1,1.0,0
SLB.4.8_1,SLB.7.7_1,9.0,0
SLB.4.8_1,SLB.7.29_1,2.0,0
SLB.4.8_1,SLB.7.10_1,4.0,0
SLB.4.8_1,SLB.7.13_1,4.0,0
SLB.4.8_1,SLB.7.9_1,8.0,0
SLB.4.8_1,SLB.5.15_1,2.0,0
SLB.4.8_1,SLB.7.22_1,3.0,0
SLB.4.8_1,SLB.7.31_1,2.0,0
SLB.4.8_1,SLB.5.10_1,1.0,0
SLB.4.8_1,SLB.7.19_1,1.0,0
SLB.4.8_1,SLB.7.27_1,5.0,0
SLB.4.8_1,SLB.7.11_1,5.0,0
SLB.4.8_1,SLB.7.4_1,2.0,0
SLB.4.8_1,SLB.7.18_1,2.0,0
SLB.4.8_1,SLB.7.8_1,6.0,0
SLB.4.8_1,SLB.7.21_1,1.0,0
SLB.4.8_1,SLB.5.11_1,1.0,0
SLB.4.8_1,SLB.7.20_1,1.0,0
SLB.4.8_1,SLB.7.30_1,3.0,0
SLB.4.8_1,SLB.5.16_1,1.0,0
SLB.4.8_1,SLB.5.1_1,1.0,0
SLB.4.8_1,SLB.7.24_1,3.0,0
SLB.4.8_1,SLB.5.3_1,4.0,0
SLB.4.8_1,SLB.7.5_1,1.0,0
SLB.4.8_1,SLB.7.12_1,1.0,0
SLB.4.8_1,SLB.7.1_1,3.0,0
SLB.4.8_1,SLB.6.2_1,1.0,0
SLB.4.8_1,SLB.6.3_1,1.0,0
SLB.4.8_1,SLB.6.1_1,2.0,0
SLB.4.8_1,SLB.5.12_1,1.0,0
SLB.4.8_1,SLB.8.9_1,1.0,0
SLB.4.8_1,SLB.6.16_1,1.0,0
SLB.4.8_1,SLB.6.8_1,1.0,0
SLB.4.8_1,SLB.6.20_1,1.0,0
SLB.4.8_1,SLB.6.7_1,2.0,0
SLB.4.8_1,SLB.5.2_1,2.0,0
SLB.4.8_1,SLB.10.17_1,2.0,0
SLB.4.8_1,SLB.6.5_1,2.0,0
SLB.4.8_1,SLB.6.19_1,1.0,0
SLB.4.8_1,SLB.6.17_1,1.0,0
SLB.4.8_1,SLB.10.2_1,1.0,0
SLB.4.8_1,SLB.5.6_1,1.0,0
SLB.4.8_1,SLB.6.14_1,1.0,0
SLB.4.8_1,SLB.10.24_1,1.0,0
SLB.4.8_1,SLB.10.8_1,1.0,0
SLB.4.8_1,SLB.10.20_1,1.0,0
SLB.4.8_1,SLB.6.11_1,1.0,0
SLB.4.8_1,SLB.10.10_1,2.0,0
SLB.4.8_1,SLB.10.13_1,1.0,0
SLB.4.8_1,SLB.10.25_1,1.0,0
SLB.4.8_1,SLB.10.22_1,2.0,0
SLB.4.8_1,SLB.10.5_1,1.0,0
SLB.4.8_1,SLB.10.21_1,3.0,0
SLB.4.8_1,SLB.10.1_1,1.0,0
SLB.4.8_1,SLB.10.26_1,1.0,0
SLB.4.8_1,SLB.10.15_1,1.0,0
SLB.4.8_1,SLB.2.13_1,1.0,0
SLB.4.8_1,SLB.2.1_1,1.0,0
SLB.4.8_1,SLB.2.2_1,2.0,0
SLB.4.8_1,SLB.2.3_1,2.0,0
SLB.4.8_1,SLB.10.19_1,2.0,0
SLB.4.8_1,SLB.10.6_1,1.0,0
SLB.4.8_1,SLB.9.10_1,1.0,0
SLB.4.8_1,SLB.9.3_1,1.0,0
SLB.4.8_1,SLB.9.13_1,1.0,0
SLB.4.8_1,SLB.9.6_1,1.0,0
SLB.1.4_1,SLB.1.9_1,507.0,0
SLB.1.4_1,SLB.1.6_1,240.0,0
SLB.1.4_1,SLB.1.11_1,133.0,0
SLB.1.4_1,SLB.1.1_1,65.0,0
SLB.1.4_1,SLB.1.12_1,18.0,0
SLB.1.4_1,SLB.1.13_1,38.0,0
SLB.1.4_1,SLB.1.8_1,38.0,0
SLB.1.4_1,SLB.3.6_1,55.0,0
SLB.1.4_1,SLB.3.5_1,17.0,0
SLB.1.4_1,SLB.3.22_1,15.0,0
SLB.1.4_1,SLB.3.1_1,14.0,0
SLB.1.4_1,SLB.7.16_1,4.0,0
SLB.1.4_1,SLB.3.11_1,8.0,0
SLB.1.4_1,SLB.4.8_1,14.0,0
SLB.1.4_1,SLB.4.3_1,2.0,0
SLB.1.4_1,SLB.4.12_1,3.0,0
