origin,destination,flow,time
WSM.11.4_1,WSM.11.1_1,54.0,0
WSM.11.4_1,WSM.11.2_1,10.0,0
WSM.11.4_1,WSM.11.3_1,10.0,0
WSM.11.4_1,WSM.8.1_1,7.0,0
WSM.11.4_1,WSM.6.3_1,2.0,0
WSM.11.4_1,WSM.6.2_1,1.0,0
WSM.11.4_1,WSM.7.2_1,2.0,0
WSM.11.4_1,WSM.8.2_1,2.0,0
WSM.11.4_1,WSM.4.2_1,1.0,0
WSM.1.5_1,WSM.5.1_1,32.0,0
WSM.1.5_1,WSM.1.4_1,73.0,0
WSM.1.5_1,WSM.1.2_1,41.0,0
WSM.1.5_1,WSM.1.1_1,28.0,0
WSM.1.5_1,WSM.1.3_1,11.0,0
WSM.1.5_1,WSM.9.5_1,16.0,0
WSM.1.5_1,WSM.9.4_1,1.0,0
WSM.1.5_1,WSM.2.1_1,3.0,0
WSM.1.5_1,WSM.9.2_1,10.0,0
WSM.1.5_1,WSM.9.1_1,2.0,0
WSM.1.5_1,WSM.9.9_1,4.0,0
WSM.1.5_1,WSM.9.8_1,1.0,0
WSM.1.5_1,WSM.10.1_1,1.0,0
WSM.1.5_1,WSM.4.2_1,1.0,0
WSM.1.5_1,WSM.5.4_1,2.0,0
WSM.4.1_1,WSM.7.1_1,89.0,0
WSM.4.1_1,WSM.4.2_1,90.0,0
WSM.4.1_1,WSM.4.3_1,16.0,0
WSM.4.1_1,WSM.8.2_1,9.0,0
WSM.4.1_1,WSM.4.4_1,11.0,0
WSM.4.1_1,WSM.7.2_1,37.0,0
WSM.4.1_1,WSM.5.2_1,16.0,0
WSM.4.1_1,WSM.5.3_1,2.0,0
WSM.4.1_1,WSM.6.2_1,8.0,0
WSM.4.1_1,WSM.5.4_1,4.0,0
WSM.4.1_1,WSM.2.1_1,6.0,0
WSM.4.1_1,WSM.7.3_1,7.0,0
WSM.4.1_1,WSM.6.1_1,2.0,0
WSM.4.1_1,WSM.6.3_1,3.0,0
WSM.4.1_1,WSM.1.3_1,2.0,0
WSM.4.1_1,WSM.1.4_1,3.0,0
WSM.4.1_1,WSM.1.2_1,3.0,0
WSM.4.1_1,WSM.1.1_1,7.0,0
WSM.4.1_1,WSM.11.3_1,3.0,0
WSM.4.1_1,WSM.1.5_1,6.0,0
WSM.4.1_1,WSM.9.3_1,1.0,0
WSM.4.1_1,WSM.9.5_1,4.0,0
WSM.4.1_1,WSM.9.6_1,1.0,0
