origin,destination,flow,time
PAN.9.3_1,PAN.7.1_1,394.0,0
PAN.9.3_1,PAN.9.1_1,28.0,0
PAN.9.3_1,PAN.7.6_1,26.0,0
PAN.9.3_1,PAN.7.5_1,18.0,0
PAN.9.3_1,PAN.9.4_1,6.0,0
PAN.9.3_1,PAN.9.2_1,27.0,0
PAN.9.3_1,PAN.7.3_1,6.0,0
PAN.9.3_1,PAN.7.7_1,3.0,0
PAN.9.3_1,PAN.9.6_1,1.0,0
PAN.9.3_1,PAN.7.4_1,13.0,0
PAN.9.3_1,PAN.3.1_1,16.0,0
PAN.9.3_1,PAN.9.7_1,7.0,0
PAN.9.3_1,PAN.13.1_1,3.0,0
PAN.9.3_1,PAN.9.5_1,1.0,0
PAN.9.3_1,PAN.13.10_1,16.0,0
PAN.9.3_1,PAN.3.4_1,3.0,0
PAN.9.3_1,PAN.13.2_1,1.0,0
PAN.9.3_1,PAN.3.2_1,2.0,0
PAN.9.3_1,PAN.13.8_1,1.0,0
PAN.9.3_1,PAN.13.6_1,1.0,0
PAN.9.3_1,PAN.11.6_1,1.0,0
PAN.9.3_1,PAN.13.4_1,4.0,0
PAN.9.3_1,PAN.13.11_1,1.0,0
PAN.9.3_1,PAN.11.3_1,2.0,0
PAN.9.3_1,PAN.13.9_1,1.0,0
PAN.9.3_1,PAN.11.2_1,1.0,0
PAN.9.3_1,PAN.13.5_1,2.0,0
PAN.9.3_1,PAN.11.4_1,6.0,0
PAN.9.3_1,PAN.10.5_1,2.0,0
PAN.9.3_1,PAN.11.1_1,4.0,0
PAN.9.3_1,PAN.4.2_1,1.0,0
PAN.9.3_1,PAN.12.6_1,1.0,0
PAN.9.3_1,PAN.12.2_1,1.0,0
PAN.9.3_1,PAN.2.5_1,1.0,0
PAN.10.2_1,PAN.10.1_1,382.0,0
PAN.10.2_1,PAN.1.3_1,99.0,0
PAN.10.2_1,PAN.2.8_1,57.0,0
PAN.10.2_1,PAN.10.4_1,74.0,0
PAN.10.2_1,PAN.10.6_1,50.0,0
PAN.10.2_1,PAN.2.4_1,43.0,0
PAN.10.2_1,PAN.10.3_1,35.0,0
PAN.10.2_1,PAN.10.5_1,42.0,0
PAN.10.2_1,PAN.2.12_1,9.0,0
PAN.10.2_1,PAN.1.1_1,22.0,0
PAN.10.2_1,PAN.2.7_1,14.0,0
PAN.10.2_1,PAN.2.11_1,7.0,0
PAN.10.2_1,PAN.2.6_1,45.0,0
PAN.10.2_1,PAN.2.9_1,2.0,0
PAN.10.2_1,PAN.2.3_1,4.0,0
PAN.10.2_1,PAN.10.7_1,2.0,0
PAN.10.2_1,PAN.2.13_1,5.0,0
PAN.10.2_1,PAN.2.5_1,18.0,0
PAN.10.2_1,PAN.2.1_1,1.0,0
PAN.10.2_1,PAN.1.2_1,20.0,0
PAN.10.2_1,PAN.2.10_1,1.0,0
PAN.10.2_1,PAN.13.5_1,1.0,0
PAN.10.2_1,PAN.13.4_1,1.0,0
PAN.10.2_1,PAN.13.9_1,2.0,0
PAN.10.2_1,PAN.2.2_1,7.0,0
PAN.10.2_1,PAN.13.8_1,3.0,0
PAN.10.2_1,PAN.13.11_1,2.0,0
PAN.10.2_1,PAN.13.7_1,2.0,0
PAN.10.2_1,PAN.13.2_1,1.0,0
PAN.10.2_1,PAN.13.10_1,9.0,0
PAN.10.2_1,PAN.13.1_1,1.0,0
PAN.10.2_1,PAN.3.3_1,4.0,0
PAN.10.2_1,PAN.7.6_1,1.0,0
PAN.10.2_1,PAN.3.6_1,2.0,0
PAN.10.2_1,PAN.11.4_1,4.0,0
PAN.10.2_1,PAN.11.1_1,2.0,0
PAN.10.2_1,PAN.12.7_1,4.0,0
PAN.10.2_1,PAN.12.6_1,2.0,0
PAN.10.3_1,PAN.10.7_1,220.0,0
PAN.10.3_1,PAN.10.5_1,191.0,0
PAN.10.3_1,PAN.10.2_1,57.0,0
PAN.10.3_1,PAN.10.6_1,13.0,0
PAN.10.3_1,PAN.10.4_1,11.0,0
PAN.10.3_1,PAN.13.3_1,10.0,0
PAN.10.3_1,PAN.13.9_1,6.0,0
PAN.10.3_1,PAN.10.1_1,9.0,0
PAN.10.3_1,PAN.2.13_1,2.0,0
PAN.10.3_1,PAN.2.9_1,2.0,0
PAN.10.3_1,PAN.2.11_1,2.0,0
PAN.10.3_1,PAN.13.4_1,2.0,0
PAN.10.3_1,PAN.1.3_1,2.0,0
PAN.10.3_1,PAN.13.5_1,3.0,0
PAN.10.3_1,PAN.13.8_1,1.0,0
PAN.10.3_1,PAN.2.8_1,2.0,0
PAN.10.3_1,PAN.2.12_1,3.0,0
PAN.10.3_1,PAN.13.2_1,4.0,0
PAN.10.3_1,PAN.1.1_1,1.0,0
PAN.10.3_1,PAN.2.4_1,1.0,0
PAN.10.3_1,PAN.13.11_1,4.0,0
PAN.10.3_1,PAN.13.10_1,10.0,0
PAN.10.3_1,PAN.2.6_1,6.0,0
PAN.10.3_1,PAN.2.7_1,1.0,0
PAN.10.3_1,PAN.2.3_1,1.0,0
PAN.10.3_1,PAN.3.1_1,2.0,0
PAN.10.3_1,PAN.7.7_1,1.0,0
PAN.10.3_1,PAN.2.5_1,1.0,0
PAN.10.3_1,PAN.1.2_1,6.0,0
PAN.10.3_1,PAN.3.6_1,1.0,0
PAN.10.3_1,PAN.2.10_1,1.0,0
PAN.10.3_1,PAN.7.1_1,1.0,0
PAN.10.3_1,PAN.11.2_1,1.0,0
PAN.10.3_1,PAN.11.4_1,1.0,0
PAN.10.3_1,PAN.4.2_1,2.0,0
PAN.10.3_1,PAN.12.7_1,1.0,0
PAN.10.3_1,PAN.12.6_1,3.0,0
PAN.12.7_1,PAN.12.6_1,6325.0,0
PAN.12.7_1,PAN.11.1_1,353.0,0
PAN.12.7_1,PAN.11.7_1,1.0,0
PAN.12.7_1,PAN.4.2_1,222.0,0
PAN.12.7_1,PAN.11.4_1,142.0,0
PAN.12.7_1,PAN.4.4_1,7.0,0
PAN.12.7_1,PAN.4.5_1,4.0,0
PAN.12.7_1,PAN.4.6_1,2.0,0
